servicioResponsable,descripcion,codigo,ejecutado,estado,ano,gastadoAnosAnteriores,servicioResponsableEjecucion,fechaRegistro,etapa,fuenteFinanciamiento,solicitado,rate,nombreIniciativa,provision,unidadTecnica,comuna,georeferenciacion,totalBeneficiarios,id,tipoIniciativa,sector
Gobierno Regional,EN LICITACION,30062168,,null,2008,400000,,null,5,31.01,17747000,0,null,,null,Arica,"[{x:360522,y:7956298,ogc:32719}]",0,1,EJECUCION,null
Gobierno Regional,TERMINADO O EN LIQUIDACION,30065395,,null,2008,2054000,,null,5,31.01,4325000,0,null,,null,Arica,[],0,1,EJECUCION,Justicia
Gobierno Regional,TERMINADO O EN LIQUIDACION,30067308,,null,2008,13430000,,null,5,31.01,1380000,0,"RESTAURACION IGLESIA DE MULLURI, CAMARONES PROVINCIA DE ARICA",,null,Camarones,"[{x:481606,y:7893847,ogc:32719}]",0,1,EJECUCION,null
Gobierno Regional,TERMINADO O EN LIQUIDACION,30067319,,null,2008,13430000,,null,5,31.01,1380000,0,RESTAURACION IGLESIA DE SAGUARA CAMARONES PROVINCIA DE ARICA,,null,Camarones,"[{x:449772,y:7908456,ogc:32719}]",0,1,EJECUCION,null
Gobierno Regional,TERMINADO O EN LIQUIDACION,30067320,,null,2008,13430000,,null,5,33.01,1380000,0,null,Puesta en Valor del Patrimonio,null,Camarones,"[{x:424940,y:7919025,ogc:32719}]",0,1,EJECUCION,null
Gobierno Regional,TERMINADO O EN LIQUIDACION,30067330,,null,2008,13430000,,null,5,31.01,1380000,0,RESTAURACION IGLESIA DE TULAPALCA  CAMARONES PROVINCIA DE ARICA,,null,Camarones,"[{x:439639,y:7927916,ogc:32719}]",0,1,EJECUCION,null
Gobierno Regional,TERMINADO O EN LIQUIDACION,30067333,,null,2008,13430000,,null,5,31.01,1380000,0,"RESTAURACION IGLESIA DE PARCOHAILLA, CAMARONES PROVINCIA DE ARICA",,null,Camarones,"[{x:477596,y:7912668,ogc:32719}]",0,1,EJECUCION,null
Gobierno Regional,EN EJECUCION,30073528,,null,2008,0,,null,6,31.01,10470000,0,ANALISIS QUIMICO DE SUELO ZONA URBANA DE LA CIUDAD DE ARICA,,Subsecretaria de Medio Ambiente,Arica,[],0,1,EJECUCION,Multisectorial
Gobierno Regional,EN EJECUCION,30073165,,null,2008,0,,null,5,31.01,5540000,0,CONSTRUC. CENTRO INFORMACION AMBIENTAL PUTRE,,null,Putre,"[{x:440827,y:7988076,ogc:32719}]",0,1,EJECUCION,Silvoagropecuario
Instituto de Desarrollo Agropecuario,apoyo a las familias campesinas de subsistencia de las localidades pobres en el mejoramiento de las capacidades tecnicas de produccion y comercializacion de sus productos,24.416.560,,null,2011,0,,null,6,24.01,73900478,9,PROGRAMA DE DESARROLLO LOCAL (PRODESAL)/ PARINACOTA,,Instituto de Desarrollo Agropecuario,PARINACOTA,[],242,275,EJECUCION,Silvoagropecuario
